,Seed,Total time,_step,_wandb,_runtime,Test time,Train time,_timestamp,Alpha,Error,Initial transient,Resized,Reservoirs,min_density,Nodes per reservoir,beta,sgmds,Train length,Constant term,rhos,densities,R_scalings,preprocess,Total nodes,sigmas,Test length,max_density,Hadamard reservoirs,seed,alphas
0,169.0,1122.424112559,9,{'runtime': 8906},8908.032229661942,77.795870193,1044.628193824,1696872401.5291166,1.0,0.0185,9,,,,,,,,,,,,,,,,,,,
1,169.0,1122.124979285,9,{'runtime': 8910},8912.16047167778,77.56717078,1044.557761399,1696863481.633257,0.9,0.0182,9,,,,,,,,,,,,,,,,,,,
2,169.0,1122.59244001,10,{'runtime': 8981},8982.537020921707,77.981301994,1044.61108636,1696854554.8979928,0.7,0.02,9,14.0,10.0,0.2,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1e-10,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",60000.0,1.0,"[0.6597405011000332, 0.5870758165692244, 1.2939622548688472, 1.3978572839980976, 0.6948098803721511, 0.9060936868994164, 0.9755070981051532, 0.5508396788515232, 0.5159005017488839, 1.1121352816578858]","[0.08018866129913642, 0.011015630115700756, 0.08764948442521356, 0.1820334105409792, 0.0846891586981729, 0.04147586434975822, 0.07942405931083212, 0.09037756562764622, 0.024397856862171736, 0.030697605387221525]","[0.6600308588442981, 0.6152944244613596, 0.5116095932164978, 1.0493348401687004, 0.9248883490004292, 0.6155362495326949, 1.09646725295118, 0.7004312195003999, 0.6263536134120806, 1.0393040387693395]",yes,10000.0,"[1.4278750561169988, 1.330777907345885, 1.3295004215589792, 0.773699870762773, 1.13134212920661, 0.8072409954785169, 1.0290012335468752, 1.4599103654715897, 0.6056376996214998, 1.0873741458117956]",10000.0,0.005,,,
3,8666.0,1204.435529769,10,{'runtime': 9069},9069.801384687424,81.278965336,1123.156513433,1696840445.2705636,1.0,0.019,9,14.0,10.0,0.2,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1e-10,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",60000.0,1.0,"[0.8828861282715036, 0.8437417464074044, 0.6912767883834431, 0.5672065646787743, 1.362004018170167, 1.2927543933144878, 1.196868295954806, 1.1209337616825494, 0.7022806507550046, 0.8205293321548818]","[0.104240712648943, 0.1806088899076328, 0.14883903011040245, 0.10808596148523514, 0.1812021128727677, 0.1992091802955272, 0.12839858608344365, 0.017698089393845862, 0.09664161926253872, 0.17452349487966015]","[0.5163240642178308, 0.932947651370546, 0.8510545973255673, 1.210851890573049, 1.277144991593568, 0.7702963386411898, 1.0173787370476428, 0.9454195946819344, 1.246784717912115, 0.6021109628861319]",yes,10000.0,"[1.00115874122795, 0.5203423328011133, 0.502706608006149, 0.7443946059694767, 1.3187379391719036, 0.8323733490832085, 0.7344465466221628, 0.9892551422385448, 0.5599901649545426, 1.1731894592396657]",10000.0,0.005,,,
4,365.0,1042.516141299,8,,7578.953556776047,67.577454734,974.938631141,1696718638.695145,0.5,0.0188,8,,,,,,,,,,,,,,,,,,,
5,365.0,1096.133558365,9,{'runtime': 8673},8674.236410140991,75.512481332,1020.621010142,1696711050.1313012,0.3,0.0197,9,,,,,,,,,,,,,,,,,,,
6,365.0,1092.704737539,9,{'runtime': 8673},8675.17123913765,74.769619925,1017.935064782,1696702364.6297872,0.1,0.0242,9,,,,,,,,,,,,,,,,,,,
7,365.0,1093.556811989,10,{'runtime': 8667},8668.03679227829,74.898654184,1018.658102932,1696693679.7129543,0.01,0.2019,9,14.0,10.0,0.2,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1e-10,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",60000.0,1.0,"[1.3033777218684746, 0.8932322382466731, 1.133741250810688, 0.7013973837785115, 0.8063978839174724, 0.7178590806382261, 0.6068581925781518, 1.0197312861293562, 0.545792455291281, 1.4822007461654303]","[0.03794420886687166, 0.008256145696559785, 0.16665966644448782, 0.1325250098853196, 0.1307970764524791, 0.12718091578198856, 0.19526406338057956, 0.1618994656926045, 0.0495100667883769, 0.01130901712657115]","[1.3654941832178225, 0.956559260410492, 1.1267907985614478, 1.0492783391087643, 1.4083066169495937, 0.916347407041708, 0.9274463946630672, 0.6359737308232168, 0.666021340170439, 1.323555664569805]",yes,10000.0,"[0.964224828501924, 1.4639931200701923, 1.1648206180224112, 0.8946894872562986, 0.7794571464013772, 1.3927617152403378, 0.6745490784483001, 1.4670358264271195, 1.010081999133665, 0.5852059563653074]",10000.0,0.005,,,
8,5510.0,1091.162480678,9,{'runtime': 8669},8671.269130468369,74.512042333,1016.650370872,1696685000.6366234,1.0,0.0196,9,,,,,,,,,,,,,,,,,,,
9,5510.0,1095.135827437,9,{'runtime': 8684},8684.911994457245,75.232381454,1019.903390483,1696676319.4785297,0.9,0.0193,9,,,,,,,,,,,,,,,,,,,
